"aid","rater","sad_structure","ccc","r","cb","ccc_lower","ccc_upper","s.shift","l.shift"
"Unaided no-training","14","Linear",0.921293936061655,0.956762721629157,0.96292833660251,0.869377046921585,0.953093903114175,1.10835896643617,0.257689780372076
"Unaided after-training","35","Amended-linear",0.920347076565145,0.963711036466952,0.955003151088958,0.869154862040481,0.952024776805445,1.07502563053215,-0.298325187271579
"Unaided no-training","18","Linear",0.919994118827511,0.941256877302128,0.977410249011342,0.864365384557229,0.953378009289783,1.10599257622315,0.189910258386444
"Unaided no-training","40","Linear",0.908680352637335,0.957334085326028,0.949177895747728,0.85142187296848,0.944533844761487,1.12191676023596,0.306330033375284
"Unaided after-training","12","Linear",0.908319369730489,0.947413626945862,0.958735808623104,0.846811351851137,0.945854862705025,0.994561887663741,0.293343973832656
"Unaided no-training","2","Linear",0.907382292650163,0.937562616424805,0.967809804650992,0.845803369407309,0.945100897525169,1.14211430874532,0.220993953393768
"Unaided no-training","17","Linear",0.904793797852159,0.927561219335977,0.975454534957685,0.846870784530499,0.941500715485291,1.25037837356726,0.0137812393296832
"Unaided after-training","38","Amended-linear",0.902765362103322,0.908983549849446,0.993159185612155,0.831624769931615,0.944754783127394,0.993718275963975,-0.117201354187395
"Unaided no-training","37","Amended-linear",0.902649815293051,0.942069564280063,0.958156222765634,0.837867846842463,0.942359134263524,1.06977547501232,0.28773463706548
"SAD-aided","32","Linear",0.898514433568401,0.903511362393571,0.994469434438618,0.826107663313938,0.941733841096269,1.09586907168626,-0.0523049264670303
"Unaided no-training","25","Amended-linear",0.898370335831989,0.919229713292208,0.97730776414362,0.827318566909718,0.941128906479497,1.080512005458,-0.201094710076664
"Unaided no-training","16","Amended-linear",0.896830730461359,0.958337718183256,0.935819089080102,0.834879570789132,0.936344924827979,1.12322658308225,-0.35163376879696
"Unaided after-training","8","Amended-linear",0.892240821288824,0.936875472710019,0.952357967818195,0.821597833136601,0.935895285672334,0.940640345390258,0.310330077093092
"Unaided after-training","22","Linear",0.890190608808697,0.943834820709016,0.943163559212595,0.829024136172581,0.930308607464144,1.29491414017319,0.230991050145323
"SAD-aided","9","Linear",0.875418862501634,0.903099687277411,0.969349092723941,0.792029844454448,0.926738627575464,1.12772511029706,-0.220848714879673
"Unaided no-training","22","Linear",0.875378405671213,0.949238464215064,0.922190196322347,0.808301865945131,0.920022442965407,1.29661643746149,0.317640478287088
"Unaided after-training","34","Amended-linear",0.875349531714194,0.893640309870838,0.979532281663428,0.789748226515228,0.927510934109796,0.904909943162881,-0.178321375689013
"Unaided no-training","3","Amended-linear",0.866194571487534,0.928235757018065,0.933162254242567,0.786217271762519,0.917631629114149,1.19608236608493,0.333323880056095
